symbol,ensembl_gene_id
UBC,ENSG00000150991.14
S100A6,ENSG00000197956.9
EEF2,ENSG00000167658.15
PABPC1,ENSG00000070756.15
TMSB4X,ENSG00000205542.10
UBA52,ENSG00000221983.7
COL1A2,ENSG00000164692.17
KRT8,ENSG00000170421.12
COL3A1,ENSG00000168542.14
ACTB,ENSG00000075624.13
FTL,ENSG00000087086.14
COL1A1,ENSG00000108821.13
S100A10,ENSG00000197747.8
PFN1,ENSG00000108518.7
PPDPF,ENSG00000125534.9
B2M,ENSG00000166710.17
HNRNPA3,ENSG00000170144.20
EEF1B2,ENSG00000114942.13
GSTP1,ENSG00000084207.15
VDAC1,ENSG00000213585.10
RBM3,ENSG00000102317.17
HSP90AA1,ENSG00000080824.18
EPCAM,ENSG00000119888.10
CHCHD2,ENSG00000106153.12
EEF1G,ENSG00000254772.9
RACK1,ENSG00000204628.11
HSPA8,ENSG00000109971.13
TAGLN2,ENSG00000158710.14
SERF2,ENSG00000140264.19
SQSTM1,ENSG00000161011.19
FTH1,ENSG00000167996.15
HSP90AB1,ENSG00000096384.19
NONO,ENSG00000147140.15
KRT18,ENSG00000111057.10
EIF4B,ENSG00000063046.17
HSPD1,ENSG00000144381.16
IFITM3,ENSG00000142089.15
IGKC,ENSG00000211592.8
S100A11,ENSG00000163191.5
ATP5F1E,
SPARC,ENSG00000113140.10
ATP5F1B,
COX7C,ENSG00000127184.12
COX6A1,ENSG00000111775.2
LGALS3BP,ENSG00000108679.12
TPM1,ENSG00000140416.19
NCL,ENSG00000115053.15
HSPE1,ENSG00000115541.10
OAZ1,ENSG00000104904.12
EIF4A1,ENSG00000161960.14
TXN,ENSG00000136810.12
HNRNPDL,ENSG00000152795.17
CD63,ENSG00000135404.11
RHOA,ENSG00000067560.10
FN1,ENSG00000115414.18
LGALS4,ENSG00000171747.8
CLIC1,ENSG00000213719.8
ATP1B1,ENSG00000143153.12
PSAP,ENSG00000197746.13
HSPB1,ENSG00000106211.8
NME2,ENSG00000243678.11
ENO1,ENSG00000074800.13
ARPC2,ENSG00000163466.15
PTGES3,ENSG00000110958.15
IGFBP7,ENSG00000163453.11
UQCRB,ENSG00000156467.9
RAC1,ENSG00000136238.17
MYH9,ENSG00000100345.20
IFI27,ENSG00000165949.12
CTSD,ENSG00000117984.13
COX5A,ENSG00000178741.11
APP,ENSG00000142192.20
DEK,ENSG00000124795.14
GNAS,ENSG00000087460.24
TPM2,ENSG00000198467.13
SRSF3,ENSG00000112081.16
ITM2B,ENSG00000136156.12
ITGB1,ENSG00000150093.18
TSPAN8,ENSG00000127324.8
FLNA,ENSG00000196924.14
GLUL,ENSG00000135821.17
TGFBI,ENSG00000120708.16
ARF1,ENSG00000143761.15
HIST1H1E,ENSG00000168298.6
SLC25A3,ENSG00000075415.12
TMED2,ENSG00000086598.10
